State,Abbreviation,Valid Respondents,Total Colonies,Total Winter Loss
Alabama,AL,33,295,23.05
Alaska,AK,5,,
Arizona,AZ,4,,
Arkansas,AR,54,665,48.57
California,CA,157,37114,19.79
Colorado,CO,152,816,28.55
Connecticut,CT,54,550,48
District of Columbia,DC,2,,
Delaware,DE,15,66,31.82
Florida,FL,108,4608,24.98
Georgia,GA,77,1781,21.73
Hawaii,HI,62,7272,13.06
Idaho,ID,23,8084,12.77
Illinois,IL,136,1202,61.4
Indiana,IN,178,1826,65.44
Iowa,IA,52,1042,56.91
Kansas,KS,38,388,27.58
Kentucky,KY,92,1145,37.82
Louisiana,LA,19,2330,24.72
Maine,ME,139,1045,34.55
Maryland,MD,142,1620,37.47
Massachusetts,MA,141,1917,34.43
Michigan,MI,363,4950,60.93
Minnesota,MN,112,2611,47.84
Mississippi,MS,15,252,25.4
Missouri,MO,80,1171,31
Montana,MT,18,106,22.64
Nebraska,NE,10,108,44.44
Nevada,NV,9,89,47.19
New Hampshire,NH,60,323,56.66
New Jersey,NJ,158,1376,36.85
New Mexico,NM,19,122,25.41
New York,NY,171,3766,50.5
North Carolina,NC,234,2212,35.26
North Dakota,ND,1,,
Ohio,OH,388,3622,58.09
Oklahoma,OK,28,241,16.6
Oregon,OR,158,5064,44.29
Pennsylvania,PA,812,7217,43.7
Rhode Island,RI,14,75,30.67
South Carolina,SC,120,1597,28.93
South Dakota,SD,6,33,33.33
Tennessee,TN,82,880,28.86
Texas,TX,58,4959,45.61
Utah,UT,41,240,34.58
Vermont,VT,79,1617,42.05
Virginia,VA,635,5757,32.83
Washington,WA,116,1252,
West Virginia,WV,59,779,36.1
Wisconsin,WI,142,2428,51.99
Wyoming,WY,4,,
Multistate,Multi,207,454307,58.53
